Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02042,Ella Martinez,Sr. Analyst,Finance,Research & Development,Female,Latino,35,06-04-2012,76111.00,0%,United States,Chicago,
E02043,Gianna Jones,Manager,Accounting,Research & Development,Female,Caucasian,48,26-09-1998,119220.00,9%,United States,Columbus,02-11-2016
E02044,Austin Chow,Vice President,Accounting,Manufacturing,Male,Asian,35,11-04-2021,180858.00,32%,China,Chongqing,
E02045,Ella Chen,Manager,Accounting,Specialty Products,Female,Asian,45,10-11-2005,114072.00,8%,United States,Phoenix,
E02046,Ruby Kaur,Test Engineer,Engineering,Research & Development,Female,Asian,26,26-06-2021,91672.00,0%,China,Beijing,
E02047,Savannah Morales,Analyst II,Marketing,Corporate,Female,Latino,48,26-01-2005,71542.00,0%,United States,Chicago,
E02048,Luca Powell,IT Coordinator,IT,Specialty Products,Male,Caucasian,33,18-12-2016,54700.00,0%,United States,Miami,
E02049,Parker Thao,Analyst II,Sales,Corporate,Male,Asian,55,08-05-2011,65022.00,0%,China,Chongqing,
E02050,Ryan Vo,Cloud Infrastructure Architect,IT,Research & Development,Male,Asian,38,12-04-2011,65109.00,0%,United States,Phoenix,
E02051,Isabella Ngo,Manager,Accounting,Specialty Products,Female,Asian,49,01-01-2022,126598.00,9%,United States,Miami,
E02052,Leah Vega,Cloud Infrastructure Architect,IT,Corporate,Female,Latino,52,07-06-2018,72388.00,0%,United States,Miami,
E02053,Jaxson Liu,Vice President,Finance,Corporate,Male,Asian,27,18-05-2021,205216.00,36%,United States,Chicago,
E02054,Santiago f Ross,Enterprise Architect,IT,Specialty Products,Male,Caucasian,34,13-12-2012,74004.00,0%,United States,Columbus,
E02055,Layla Bell,Vice President,Engineering,Corporate,Female,Caucasian,65,26-07-2001,203030.00,31%,United States,Chicago,
E02056,Bella Morales,Director,Sales,Specialty Products,Female,Latino,38,10-05-2016,194864.00,24%,United States,Austin,
E02057,Eliza Kang,Computer Systems Manager,IT,Manufacturing,Female,Asian,63,27-01-2002,76659.00,5%,United States,Phoenix,
E02058,Gabriel Reyes,Manager,Sales,Corporate,Male,Latino,42,10-06-2005,101630.00,8%,Brazil,Sao Paulo,
E02059,Piper Garcia,Sr. Manager,Sales,Research & Development,Female,Latino,60,24-11-1993,126929.00,12%,Brazil,Sao Paulo,
E02060,Jacob Cheng,Director,Sales,Manufacturing,Male,Asian,47,26-11-1999,155890.00,17%,United States,Columbus,27-11-2003
E02061,Nathan Hong,Director,Finance,Corporate,Male,Asian,50,02-10-2019,150631.00,17%,United States,Phoenix,
E02062,Chloe Kim,Sr. Analyst,Sales,Specialty Products,Female,Asian,39,06-07-2012,72850.00,0%,United States,Miami,
E02063,Isaac Guzman,Account Representative,Sales,Corporate,Male,Latino,46,18-08-2010,57951.00,0%,United States,Phoenix,
E02064,Julian Ford,Analyst II,Sales,Manufacturing,Male,Caucasian,50,29-07-2010,70340.00,0%,United States,Miami,
E02065,Kinsley Liang,Automation Engineer,Engineering,Manufacturing,Female,Asian,55,25-08-2008,98221.00,0%,China,Shanghai,
E02066,Wesley Yu,Sr. Manager,Sales,Specialty Products,Male,Asian,43,24-09-2003,127175.00,12%,United States,Seattle,
E02067,Serenity Martin,Sr. Analyst,Finance,Manufacturing,Female,Black,26,16-05-2021,97542.00,0%,United States,Phoenix,
E02068,Ethan Sanchez,Sr. Analyst,Marketing,Research & Development,Male,Latino,34,15-05-2019,81646.00,0%,United States,Phoenix,
E02069,David Sanchez,Director,Sales,Specialty Products,Male,Latino,38,05-07-2009,182055.00,27%,Brazil,Rio de Janeiro,
E02070,Elias Hsu,Sr. Analyst,Marketing,Specialty Products,Male,Asian,35,23-01-2022,86777.00,0%,China,Chengdu,
E02071,Luca Phan,Manager,Marketing,Corporate,Male,Asian,39,17-06-2015,129949.00,9%,China,Beijing,
E02072,Olivia Xi,Manager,Sales,Specialty Products,Female,Asian,26,19-08-2020,124535.00,6%,United States,Chicago,
E02073,Alice Luu,System Administrator ,IT,Research & Development,Female,Asian,60,17-07-1993,81083.00,0%,United States,Columbus,
E02074,Leonardo Ng,Analyst,Marketing,Corporate,Male,Asian,32,10-06-2019,57727.00,0%,China,Chengdu,
E02075,Peyton Edwards,Analyst II,Finance,Manufacturing,Female,Caucasian,65,11-07-2020,59344.00,0%,United States,Columbus,
E02076,Axel Patel,Sr. Analyst,Sales,Research & Development,Male,Asian,27,13-09-2022,73203.00,0%,United States,Miami,
E02077,Eva Chavez,IT Systems Architect,IT,Specialty Products,Female,Latino,63,17-01-2004,83070.00,0%,Brazil,Sao Paulo,
E02078,Savannah Lee,Manager,Human Resources,Research & Development,Female,Asian,51,22-07-2020,104008.00,10%,China,Beijing,
E02079,Mia Grant,Solutions Architect,IT,Corporate,Female,Caucasian,43,16-02-2007,70923.00,0%,United States,Columbus,
E02080,Eli Richardson,Sr. Manager,Marketing,Specialty Products,Male,Black,31,08-04-2018,159121.00,14%,United States,Phoenix,
E02081,Eloise Perry,Sr. Business Partner,Human Resources,Research & Development,Female,Caucasian,26,02-12-2020,88921.00,0%,United States,Chicago,
E02082,Ian Cheng,Sr. Manager,Sales,Specialty Products,Male,Asian,46,30-08-2015,126704.00,14%,United States,Phoenix,
E02083,Penelope Chan,Analyst II,Accounting,Manufacturing,Female,Asian,59,20-05-2012,57704.00,0%,China,Shanghai,21-11-2019
E02084,Sofia Vasquez,Director,Sales,Research & Development,Female,Latino,52,29-07-1996,191455.00,24%,Brazil,Sao Paulo,
E02085,Anthony Baker,Solutions Architect,IT,Manufacturing,Male,Caucasian,31,03-06-2021,99937.00,0%,United States,Phoenix,
E02086,Lucas Luong,Analyst,Marketing,Specialty Products,Male,Asian,42,12-03-2008,40778.00,0%,China,Chengdu,
E02087,Xavier Patel,Director,Marketing,Specialty Products,Male,Asian,53,16-11-2021,187740.00,16%,United States,Columbus,
E02088,Robert Soto,HRIS Analyst,Human Resources,Research & Development,Male,Latino,47,10-09-2008,72384.00,0%,Brazil,Rio de Janeiro,
E02089,Nevaeh Jiang,Sr. Manager,Marketing,Corporate,Female,Asian,45,05-08-2016,143318.00,12%,China,Chengdu,
E02090,Chloe Reyes,Director,Human Resources,Specialty Products,Female,Latino,45,18-06-2008,191304.00,17%,United States,Phoenix,
E02091,Lucy Edwards,Director,Human Resources,Specialty Products,Female,Black,33,16-03-2015,175875.00,21%,United States,Columbus,16-05-2022
E02092,Luna Edwards,Manager,Sales,Research & Development,Female,Black,42,13-04-2014,106726.00,9%,United States,Seattle,
E02093,Stella Daniels,Cloud Infrastructure Architect,IT,Manufacturing,Female,Black,37,30-10-2011,72637.00,0%,United States,Columbus,
E02094,Ayla Ma,Manager,Marketing,Corporate,Female,Asian,27,05-12-2022,118304.00,7%,China,Shanghai,
E02095,Matthew Avila,Computer Systems Manager,IT,Manufacturing,Male,Latino,55,17-06-2003,68592.00,8%,Brazil,Sao Paulo,
E02096,Gianna Lim,Analyst,Accounting,Research & Development,Female,Asian,46,01-04-2006,42532.00,0%,China,Chongqing,
E02097,Joseph Tan,Technical Architect,IT,Research & Development,Male,Asian,37,20-08-2015,65073.00,0%,China,Shanghai,
E02098,Connor Lai,Engineering Manager,Engineering,Corporate,Male,Asian,32,22-09-2019,111035.00,12%,United States,Chicago,
E02099,Ava Owens,Analyst II,Finance,Specialty Products,Female,Caucasian,28,07-02-2020,63066.00,0%,United States,Seattle,
E02100,Dylan Aguilar,Director,Engineering,Corporate,Male,Latino,49,27-03-2007,186192.00,27%,Brazil,Sao Paulo,
E02101,Leah Zheng,Director,Engineering,Corporate,Female,Asian,52,18-06-2016,182938.00,23%,China,Chengdu,
E02102,Jade Pham,Analyst,Accounting,Manufacturing,Female,Asian,61,12-12-2017,53931.00,0%,China,Shanghai,
E02103,Theodore Bui,Vice President,Sales,Specialty Products,Male,Asian,53,13-05-2012,252140.00,38%,China,Beijing,
E02104,Asher Chan,Sr. Business Partner,Human Resources,Corporate,Male,Asian,40,18-08-2018,73041.00,0%,China,Shanghai,
E02105,Ezekiel Brown,Manager,Finance,Corporate,Male,Caucasian,27,14-03-2022,120315.00,8%,United States,Miami,17-07-2022
E02106,Peyton Allen,Manager,Marketing,Specialty Products,Female,Caucasian,26,23-11-2020,112264.00,5%,United States,Chicago,
E02107,Parker Joseph,Systems Analyst,IT,Specialty Products,Male,Caucasian,53,21-01-2000,55039.00,0%,United States,Seattle,
E02108,Kayden Ortiz,Sr. Manager,Accounting,Specialty Products,Male,Latino,33,29-07-2013,134782.00,15%,Brazil,Manaus,
E02109,Lillian Desai,Field Engineer,Engineering,Manufacturing,Female,Asian,27,12-12-2022,92806.00,0%,China,Chengdu,
E02110,Avery Gutierrez,Vice President,Marketing,Corporate,Female,Latino,56,02-07-2016,181028.00,38%,United States,Phoenix,
E02111,Caroline Sandoval,Analyst,Sales,Corporate,Female,Latino,36,03-10-2013,48117.00,0%,Brazil,Sao Paulo,
E02112,Hailey Lim,Director,Marketing,Corporate,Female,Asian,47,06-01-2005,192753.00,17%,China,Chongqing,
E02113,Roman Liang,Sr. Analyst,Sales,Manufacturing,Male,Asian,28,04-03-2021,85206.00,0%,China,Chongqing,08-07-2022
E02114,Elias Rojas,Account Representative,Sales,Manufacturing,Male,Latino,30,07-01-2018,58290.00,0%,United States,Chicago,
E02115,Quinn Lai,Systems Analyst,IT,Research & Development,Female,Asian,58,28-08-2003,41946.00,0%,United States,Phoenix,
E02116,Clara Le,Service Desk Analyst,IT,Corporate,Female,Asian,56,15-03-2021,79388.00,0%,China,Beijing,
E02117,Chloe Yoon,Network Administrator,IT,Corporate,Female,Asian,65,25-02-2002,83854.00,0%,United States,Seattle,
E02118,Abigail Simmons,Sr. Manager,IT,Specialty Products,Female,Caucasian,29,24-04-2018,126550.00,15%,United States,Miami,
E02119,Ayla Espinoza,Director,Human Resources,Research & Development,Female,Latino,60,01-10-1993,199705.00,26%,Brazil,Rio de Janeiro,
E02120,Nova Lin,Vice President,Sales,Specialty Products,Female,Asian,31,09-04-2019,201235.00,32%,United States,Austin,
E02121,Sadie Singh,Director,Engineering,Specialty Products,Female,Asian,45,16-03-2022,182717.00,26%,United States,Columbus,
E02122,Aaron Powell,Enterprise Architect,IT,Research & Development,Male,Black,30,11-09-2017,79975.00,0%,United States,Chicago,
E02123,Jameson Vargas,Director,Human Resources,Specialty Products,Male,Latino,36,24-07-2011,196554.00,20%,Brazil,Rio de Janeiro,
E02124,Logan Young,Vice President,IT,Corporate,Male,Black,39,16-08-2010,239395.00,33%,United States,Seattle,
E02125,Wyatt Cheung,Analyst II,Sales,Specialty Products,Male,Asian,44,25-07-2013,53703.00,0%,China,Beijing,
E02126,Lucas Zhu,Manager,IT,Manufacturing,Male,Asian,53,14-03-2011,123480.00,8%,China,Beijing,
E02127,Emily Hong,IT Coordinator,IT,Specialty Products,Female,Asian,46,09-01-2021,41197.00,0%,China,Beijing,
E02128,Luke Ramos,Account Representative,Sales,Corporate,Male,Latino,30,28-07-2018,72463.00,0%,Brazil,Manaus,
E02129,Maya Gupta,Field Engineer,Engineering,Corporate,Female,Asian,28,04-08-2019,87675.00,0%,China,Beijing,
E02130,Eliana Ha,Analyst,Accounting,Specialty Products,Female,Asian,35,15-12-2020,55833.00,0%,China,Chengdu,
E02131,Lillian Cheng,Analyst II,Finance,Research & Development,Female,Asian,58,20-08-1996,58208.00,0%,China,Chengdu,
E02132,Alexander Pena,Sr. Analyst,Sales,Specialty Products,Male,Latino,47,24-05-2002,75633.00,0%,United States,Chicago,
E02133,Leonardo Mai,Sr. Analyst,Marketing,Specialty Products,Male,Asian,43,28-01-2007,79090.00,0%,China,Chengdu,
E02134,Jack Phillips,Analyst II,Finance,Manufacturing,Male,Black,47,27-07-2015,66138.00,0%,United States,Phoenix,
E02135,Scarlett Delgado,Cloud Infrastructure Architect,IT,Research & Development,Female,Latino,57,28-08-2013,80728.00,0%,Brazil,Rio de Janeiro,
E02136,Jack Rogers,Systems Analyst,IT,Corporate,Male,Black,47,01-02-2005,46202.00,0%,United States,Phoenix,
E02137,Violet Huynh,Manager,Sales,Research & Development,Female,Asian,50,29-02-2008,123096.00,10%,China,Shanghai,
E02138,Victoria Park,Analyst,Marketing,Research & Development,Female,Asian,27,18-03-2020,45989.00,0%,United States,Chicago,
E02139,Elizabeth Rodriguez,Sr. Manager,Accounting,Corporate,Female,Latino,26,13-08-2021,140756.00,13%,Brazil,Sao Paulo,
E02140,Samuel Kumar,Network Engineer,IT,Corporate,Male,Asian,43,09-03-2009,85261.00,0%,China,Chengdu,
E02141,Zoe Maldonado,Vice President,Accounting,Corporate,Female,Latino,49,25-09-1998,198222.00,34%,Brazil,Sao Paulo,
E02142,Natalia Richardson,Sr. Manager,Sales,Research & Development,Female,Caucasian,36,02-06-2017,150825.00,10%,United States,Columbus,
E02143,Madeline Contreras,Analyst,Accounting,Corporate,Female,Latino,51,31-10-1995,59311.00,0%,Brazil,Sao Paulo,
E02144,Raelynn Espinoza,Analyst,Accounting,Corporate,Female,Latino,46,12-09-2002,44411.00,0%,Brazil,Manaus,
E02145,Noah Rojas,Analyst II,Finance,Manufacturing,Male,Latino,37,14-11-2019,69408.00,0%,United States,Chicago,
E02146,Jack Ramos,Sr. Analyst,Finance,Manufacturing,Male,Latino,43,17-06-2018,96759.00,0%,Brazil,Manaus,
E02147,Riley King,Director,Marketing,Specialty Products,Female,Black,53,10-08-2013,163480.00,15%,United States,Columbus,
E02148,Naomi Lee,System Administrator ,IT,Research & Development,Female,Asian,58,15-04-2014,91132.00,0%,China,Beijing,
E02149,Caleb Jones,Manager,Marketing,Corporate,Male,Caucasian,57,10-07-1996,122825.00,8%,United States,Miami,
E02150,Peyton Alvarado,Service Desk Analyst,IT,Manufacturing,Female,Latino,31,24-10-2015,73612.00,0%,Brazil,Rio de Janeiro,
E02151,Luca Liu,Account Representative,Sales,Manufacturing,Male,Asian,40,22-06-2007,70561.00,0%,China,Chongqing,
E02152,Christian Johnson,Network Architect,IT,Research & Development,Male,Black,47,25-05-2008,60331.00,0%,United States,Miami,
E02153,Kinsley Gonzales,Systems Analyst,IT,Manufacturing,Female,Latino,51,05-05-2007,48772.00,0%,Brazil,Rio de Janeiro,
E02154,Hunter Yoon,Network Administrator,IT,Research & Development,Male,Asian,57,02-10-2020,90599.00,0%,China,Chongqing,
E02155,Elias Dixon,IT Coordinator,IT,Corporate,Male,Caucasian,46,22-11-2021,55643.00,0%,United States,Columbus,
E02156,Owen Guerrero,Field Engineer,Engineering,Corporate,Male,Latino,40,03-09-2022,97938.00,0%,United States,Chicago,
E02157,Lucas Lo,Analyst,Accounting,Research & Development,Male,Asian,43,18-01-2004,49627.00,0%,China,Beijing,
E02158,Hunter Mitchell,IT Coordinator,IT,Research & Development,Male,Caucasian,54,17-04-2021,58137.00,0%,United States,Columbus,
E02159,Eliana Bailey,Sr. Manager,Sales,Research & Development,Female,Black,27,02-01-2021,120586.00,15%,United States,Seattle,
E02160,Gabriella Choi,Analyst II,Accounting,Manufacturing,Female,Asian,56,15-08-1999,72925.00,0%,United States,Seattle,
E02161,Evelyn Alvarado,Network Administrator,IT,Specialty Products,Female,Latino,36,12-08-2022,83548.00,0%,United States,Miami,
E02162,Wyatt Chan,Manager,Finance,Manufacturing,Male,Asian,53,28-06-2005,128226.00,8%,China,Shanghai,
E02163,Sarah Johnson,Director,Engineering,Research & Development,Female,Caucasian,31,06-03-2018,150653.00,24%,United States,Austin,01-09-2019
E02164,Brooks Evans,Sr. Account Representative,Sales,Specialty Products,Male,Caucasian,45,04-05-2016,80989.00,0%,United States,Columbus,
E02165,Isaiah Dixon,Development Engineer,Engineering,Corporate,Male,Caucasian,29,27-02-2022,74901.00,0%,United States,Austin,
E02166,Addison Lo,Cloud Infrastructure Architect,IT,Research & Development,Female,Asian,27,28-08-2020,68712.00,0%,United States,Columbus,
E02167,Nolan Howard,Quality Engineer,Engineering,Research & Development,Male,Caucasian,26,18-04-2022,82963.00,0%,United States,Austin,23-06-2022
E02168,Paisley Dominguez,Engineering Manager,Engineering,Research & Development,Female,Latino,53,14-06-2009,123203.00,10%,United States,Austin,
E02169,Eliana Ho,Director,Accounting,Corporate,Female,Asian,64,05-09-2012,195416.00,22%,China,Chengdu,
E02170,Charles Miller,Director,Marketing,Manufacturing,Male,Black,32,07-06-2018,156418.00,23%,United States,Columbus,
E02171,Mia Jiang,Vice President,Accounting,Manufacturing,Female,Asian,42,19-06-2015,255892.00,38%,United States,Miami,
E02172,Skylar Parker,Technical Architect,IT,Corporate,Female,Caucasian,31,05-08-2018,96195.00,0%,United States,Phoenix,
E02173,Zoey Leung,Network Administrator,IT,Research & Development,Female,Asian,40,27-09-2007,77637.00,0%,China,Chongqing,04-02-2017
E02174,Austin Moua,Test Engineer,Engineering,Research & Development,Male,Asian,46,27-05-2003,79294.00,0%,China,Chengdu,
E02175,Christopher Robinson,Vice President,Finance,Specialty Products,Male,Caucasian,35,11-07-2016,254287.00,31%,United States,Austin,17-10-2022
E02176,Jayden Zhang,Enterprise Architect,IT,Specialty Products,Male,Asian,64,27-06-1994,70516.00,0%,China,Chengdu,
E02177,Cora Mejia,Sr. Analyst,Accounting,Research & Development,Female,Latino,58,07-06-2014,98296.00,0%,Brazil,Manaus,
E02178,Julian Harris,Operations Engineer,Engineering,Manufacturing,Male,Caucasian,61,30-12-2015,98565.00,0%,United States,Phoenix,
E02179,Anthony Espinoza,Analyst II,Finance,Manufacturing,Male,Latino,41,16-11-2020,59149.00,0%,Brazil,Rio de Janeiro,
E02180,Aubrey Ruiz,Analyst II,Marketing,Specialty Products,Female,Latino,25,11-01-2021,70126.00,0%,Brazil,Sao Paulo,
E02181,Piper Tang,Vice President,Human Resources,Manufacturing,Female,Asian,50,28-07-2011,216787.00,33%,China,Beijing,
E02182,Colton Delgado,Sr. Manager,Accounting,Research & Development,Male,Latino,61,22-10-2006,156512.00,13%,Brazil,Rio de Janeiro,
E02183,Madeline Chung,Analyst,Finance,Research & Development,Female,Asian,63,26-05-2011,44444.00,0%,United States,Miami,12-07-2015
E02184,Ariana Sharma,Vice President,Sales,Research & Development,Female,Asian,45,24-01-2014,257725.00,34%,United States,Seattle,29-06-2022
E02185,Julian Marquez,Sr. Manager,Accounting,Specialty Products,Male,Latino,33,14-09-2013,122408.00,11%,Brazil,Rio de Janeiro,
E02186,Logan Reyes,Quality Engineer,Engineering,Corporate,Male,Latino,62,10-04-1995,78251.00,0%,Brazil,Sao Paulo,19-03-2020
E02187,Penelope Mai,Vice President,Sales,Corporate,Female,Asian,43,02-05-2004,252938.00,35%,United States,Austin,
E02188,Ryan Reed,Sr. Analyst,Sales,Manufacturing,Male,Black,48,28-10-2019,90296.00,0%,United States,Austin,
E02189,Grayson Hwang,Sr. Analyst,Finance,Corporate,Male,Asian,42,23-04-2013,91689.00,0%,China,Chongqing,
E02190,Ezra Tan,Sr. Manager,Finance,Corporate,Male,Asian,49,22-12-1999,158028.00,12%,China,Chengdu,
E02191,David Ha,Sr. Account Representative,Sales,Corporate,Male,Asian,33,27-07-2022,89759.00,0%,China,Chongqing,
E02192,Lillian Vang,Technical Architect,IT,Research & Development,Female,Asian,39,13-09-2015,78640.00,0%,China,Chongqing,
E02193,Sofia Zhang,Analyst,Finance,Specialty Products,Female,Asian,51,11-01-2005,55368.00,0%,United States,Chicago,
E02194,Athena Daniels,Network Administrator,IT,Specialty Products,Female,Caucasian,49,23-05-2021,78164.00,0%,United States,Seattle,
E02195,Jameson Shin,Sr. Analyst,Marketing,Research & Development,Male,Asian,30,14-05-2020,76014.00,0%,China,Chengdu,
E02196,Everly Avila,Account Representative,Sales,Manufacturing,Female,Latino,41,13-11-2015,61403.00,0%,United States,Miami,
E02197,Liam Nelson,Technical Architect,IT,Research & Development,Male,Black,58,17-12-2010,80720.00,0%,United States,Columbus,
E02198,Theodore Lai,System Administrator ,IT,Specialty Products,Male,Asian,55,27-12-2008,94026.00,0%,China,Shanghai,
E02199,Caroline Do,Analyst,Marketing,Research & Development,Female,Asian,40,06-03-2016,56963.00,0%,United States,Chicago,
E02200,Josiah Ramos,Manager,Finance,Specialty Products,Male,Latino,41,08-01-2014,113246.00,6%,United States,Chicago,
E02201,Colton Alexander,Field Engineer,Engineering,Research & Development,Male,Caucasian,45,09-08-2005,76416.00,0%,United States,Phoenix,
E02202,Charles Ramos,Sr. Analyst,Accounting,Corporate,Male,Latino,57,04-04-2010,74597.00,0%,United States,Austin,30-01-2016
E02203,Ellie Wilson,Director,IT,Manufacturing,Female,Caucasian,65,31-08-1996,164102.00,30%,United States,Columbus,
E02204,Peyton Powell,System Administrator ,IT,Research & Development,Female,Caucasian,44,16-02-2003,74431.00,0%,United States,Phoenix,
E02205,Hailey Rojas,Analyst,Finance,Specialty Products,Female,Latino,52,15-07-2014,43378.00,0%,United States,Miami,
E02206,Kai Singh,Analyst,Finance,Corporate,Male,Asian,52,19-04-2001,47587.00,0%,United States,Chicago,
E02207,Ryan Rivera,Director,Human Resources,Specialty Products,Male,Latino,53,29-11-2001,179983.00,16%,United States,Phoenix,
E02208,Everett Lu,Manager,Marketing,Research & Development,Male,Asian,31,28-11-2021,115565.00,6%,United States,Phoenix,
E02209,Layla Nunez,Manager,Finance,Manufacturing,Female,Latino,63,10-09-2017,126064.00,5%,United States,Miami,
E02210,Liliana Collins,Sr. Manager,Human Resources,Specialty Products,Female,Black,39,18-01-2013,151666.00,13%,United States,Chicago,30-06-2018
E02211,Ezekiel Jenkins,Service Desk Analyst,IT,Specialty Products,Male,Caucasian,63,11-04-2000,99215.00,0%,United States,Seattle,
E02212,Christopher Wang,Cloud Infrastructure Architect,IT,Manufacturing,Male,Asian,27,23-08-2020,71502.00,0%,China,Chongqing,
E02213,Savannah Rodriguez,Director,Sales,Corporate,Female,Latino,30,18-11-2022,168050.00,24%,Brazil,Manaus,
E02214,Lyla Turner,Sr. Manager,Sales,Specialty Products,Female,Caucasian,51,07-11-2003,130862.00,12%,United States,Seattle,
E02215,Adrian Ngo,Enterprise Architect,IT,Research & Development,Male,Asian,58,19-09-2021,85716.00,0%,China,Chongqing,
E02216,Aria Juarez,Director,Finance,Corporate,Female,Latino,62,30-07-2011,185026.00,24%,Brazil,Manaus,
E02217,Audrey Ramos,Vice President,Sales,Manufacturing,Female,Latino,27,09-12-2021,182403.00,30%,Brazil,Sao Paulo,
E02218,Hazel Cho,Vice President,Accounting,Corporate,Female,Asian,63,12-08-2004,193531.00,40%,China,Shanghai,
